image;species;individual_id;mammal group;categories
dfaa26cf13a214.jpg;beluga;19b638e11443;beluga;2
6cfa1b234f2a04.jpg;killer_whale;0e461620e872;dolphin;0
440b6036e54ce8.jpg;bottlenose_dolpin;c02b7ad6faa0;dolphin;0
7fba21051447fd.jpg;beluga;babd014300b7;beluga;2
d381ef7ac5d5a3.jpg;beluga;5ac053677ed1;beluga;2
6d2a792592ad13.jpg;beluga;124534ac8131;beluga;2
1a25a16fe59bbe.jpg;bottlenose_dolphin;2ff676fd700f;dolphin;0
439580f1fc9488.jpg;white_sided_dolphin;cfacd68a2a32;dolphin;0
e3c359067831b3.jpg;bottlenose_dolphin;70cd1a7d97a7;dolphin;0
db050e682e4d7e.jpg;spinner_dolphin;b031fecf7ab2;dolphin;0
541bfa3b5c4882.jpg;beluga;a7a2e40ea117;beluga;2
f1ad25c55c25ea.jpg;beluga;c5e24731f051;beluga;2
2ac8a8cb413dd7.jpg;killer_whale;4051086ed105;dolphin;0
88abffc6a5e391.jpg;humpback_whale;938b7e931166;whale;1
f12d80f2519eba.jpg;beluga;a7a2e40ea117;beluga;2
30d7a6be0772f4.jpg;dusky_dolphin;3d6115227102;dolphin;0
6da484491fab3f.jpg;gray_whale;c6005960433d;whale;1
339ed16b1da273.jpg;bottlenose_dolphin;cedc801cee3f;dolphin;0
9efcd87aec98d5.jpg;false_killer_whale;ce873781a2c4;dolphin;0
15e0fe1f072b48.jpg;bottlenose_dolpin;01bfb4acf96e;dolphin;0
7753f27c1fadfb.jpg;bottlenose_dolpin;61dae2367d81;dolphin;0
52bf89932aa92a.jpg;beluga;52d5c40ee57f;beluga;2
c450dc6a011ab6.jpg;spinner_dolphin;1d4e96cf1849;dolphin;0
e1f5e0e280100f.jpg;dusky_dolphin;38177ea28ac9;dolphin;0
c2bae9a8e6a0ca.jpg;bottlenose_dolphin;836dd8634623;dolphin;0
9ecfb194898aab.jpg;bottlenose_dolphin;2c45eacc8a8f;dolphin;0
f1fe70b9625f2f.jpg;dusky_dolphin;7117ded9c5eb;dolphin;0
ebab852a6b4fce.jpg;humpback_whale;78a3c99a3fb3;whale;1
67454e28e1db85.jpg;gray_whale;590927fa081f;whale;1
b6fd77532cfd41.jpg;false_killer_whale;be2aa86d0e5b;dolphin;0
76d0277666b885.jpg;humpback_whale;e7771cf830b5;whale;1
c54a3deae4d519.jpg;minke_whale;4a67e64bd3b7;whale;1
2261bccecbbe90.jpg;beluga;3a055fad1478;beluga;2
a066fea9d2dea7.jpg;bottlenose_dolphin;c0380e0c1bb4;dolphin;0
1cc3bc4b24a690.jpg;bottlenose_dolphin;4c5307459d85;dolphin;0
d5757ebb110d59.jpg;humpback_whale;e4438f41d8dd;whale;1
5078016278dc00.jpg;beluga;0e1dc8e6ff85;beluga;2
da70810f899835.jpg;beluga;9571175872da;beluga;2
b2f2a78eab0ed2.jpg;melon_headed_whale;2af33521079a;whale;1
67e16c6eecc299.jpg;bottlenose_dolphin;de280a57ed96;dolphin;0
7824a2d32e925c.jpg;beluga;79c94459ece0;beluga;2
e64ef5df933b6c.jpg;bottlenose_dolphin;a59972315f7d;dolphin;0
d31a458afcbb61.jpg;humpback_whale;d8aee303e54e;whale;1
2c8d96b3066802.jpg;humpback_whale;808770daa488;whale;1
42e50afc7fdbff.jpg;blue_whale;80568f6b4dc9;whale;1
530045a213f765.jpg;bottlenose_dolphin;cf0e710b0636;dolphin;0
604f8ee20e00b7.jpg;false_killer_whale;b70dbd9aad65;dolphin;0
9ee9faa541d9e0.jpg;melon_headed_whale;c82f2d4487b8;whale;1
2e4a2fca168501.jpg;beluga;50af5f0533c5;beluga;2
78c077d5ada543.jpg;beluga;18f7320d7d11;beluga;2
efd441710bdbf5.jpg;gray_whale;6f632b846891;whale;1
1aa535d4d0c83e.jpg;spinner_dolphin;8ee1eaf28b94;dolphin;0
ec0b9d2dead00d.jpg;beluga;233c1b34e843;beluga;2
71bc9a4601780d.jpg;gray_whale;28591b3d7199;whale;1
031a0350f54c99.jpg;humpback_whale;8cfe17a71664;whale;1
69d569abbf8574.jpg;blue_whale;edda4896220d;whale;1
1cebcc6ec9882f.jpg;beluga;5fc809d9e819;beluga;2
54ad57b01b8e96.jpg;false_killer_whale;b5e1ee74f22b;dolphin;0
96cb1685820fdc.jpg;blue_whale;990a897da064;whale;1
63093de699e91b.jpg;kiler_whale;21bae971ddda;whale;1
a291612d86451b.jpg;bottlenose_dolpin;06518e8bc9e7;dolphin;0
4a23303ecb59fb.jpg;beluga;5dc6032fca87;beluga;2
794beebd3e130d.jpg;bottlenose_dolphin;23c67bd564c1;dolphin;0
9d862aec78fbb6.jpg;dusky_dolphin;6e74d84abda4;dolphin;0
f0c3d4fb88f2b3.jpg;sei_whale;90429ecf62ce;whale;1
431bae8c89bc2e.jpg;beluga;2caa33bcd020;beluga;2
89275bcb023333.jpg;melon_headed_whale;9165f429aee0;whale;1
d5bea9e696360a.jpg;humpback_whale;da625a839de9;whale;1
fc7340e450ce17.jpg;beluga;5fc809d9e819;beluga;2
680a240119f3ec.jpg;humpback_whale;7362d7a01d00;whale;1
87bc4c2d7aaed1.jpg;humpback_whale;4f2eec583480;whale;1
c8ac2492eceafe.jpg;beluga;cd720f8127f5;beluga;2
192afdd804fc88.jpg;beluga;8deb2171580e;beluga;2
90c522e41e95c2.jpg;dusky_dolphin;e35d8b3930d7;dolphin;0
4d8b7b5d52d0d7.jpg;humpback_whale;b2a4a87ffb86;whale;1
1b1674b95c9103.jpg;humpback_whale;0889697276c6;whale;1
6257a980075472.jpg;bottlenose_dolphin;bb9890db1425;dolphin;0
8c6c7cb530b953.jpg;beluga;0aed151b8f66;beluga;2
b2db558a026c3c.jpg;humpback_whale;64993921dc64;whale;1
2d9675992e2f2e.jpg;beluga;efda8f368763;beluga;2
1f41e68135753f.jpg;beluga;7dc63cb16112;beluga;2
999ffc47c9ec5c.jpg;blue_whale;0d802fe3f8a6;whale;1
f28e319a4a6bdd.jpg;beluga;ff26e042cd52;beluga;2
c48689fd3d52ce.jpg;beluga;2e268c8dbd31;beluga;2
6162f26f570877.jpg;beluga;1ff6d285b427;beluga;2
8021e96a32c0a4.jpg;blue_whale;1974b46fcf3d;whale;1
9a8d501de27dab.jpg;beluga;3d5a4dd24d21;beluga;2
6a41469b789fc2.jpg;short_finned_pilot_whale;f003df76687d;whale;1
bf0834a26230b6.jpg;false_killer_whale;0b4f33bf1fe6;dolphin;0
ed684f323c5dad.jpg;humpback_whale;96cae7a2b535;whale;1
cdf1b9b71b92cc.jpg;bottlenose_dolphin;eb0b97027ff4;dolphin;0
3eb6fba7125ef7.jpg;beluga;985e7d6a8052;beluga;2
569d925326c495.jpg;humpback_whale;b701a645a567;whale;1
0af03feee2ca5b.jpg;blue_whale;823f54603fd6;whale;1
6a00316b567f7b.jpg;bottlenose_dolphin;d03806a6d0cc;dolphin;0
5602f6b7be7274.jpg;blue_whale;2818b149fc59;whale;1
d30476183fb9c8.jpg;dusky_dolphin;7c8ea562b552;dolphin;0
41300ed2ee6a8e.jpg;bottlenose_dolphin;43b2903d5bfd;dolphin;0
49e40232edf30a.jpg;humpback_whale;2e0768fcf59e;whale;1
843cb369aa2554.jpg;humpback_whale;4be88c1d5ed8;whale;1
e1af682ea4f4d3.jpg;pilot_whale;3d73d2537443;whale;1
5f05b2e3215faf.jpg;beluga;5ca799f80b5e;beluga;2
8a9ec72cba78a4.jpg;killer_whale;52452f06a7b0;dolphin;0
efbea11df2eec0.jpg;minke_whale;dd8c756c9cb7;whale;1
240feecc9a7fee.jpg;humpback_whale;d9511b06c4eb;whale;1
fca8ac475f3343.jpg;bottlenose_dolphin;ad981a124bbd;dolphin;0
34f552cb310d64.jpg;humpback_whale;9e97921facb3;whale;1
faa714e9db9b08.jpg;beluga;fd92aac78676;beluga;2
a3db7c0b80e01e.jpg;beluga;2edaf3a0b21a;beluga;2
74fcf1889107f8.jpg;false_killer_whale;2342e3a79564;dolphin;0
0d590c371f37f9.jpg;killer_whale;64d288817edc;dolphin;0
b961546d4dda31.jpg;beluga;d155445f3213;beluga;2
a492951b0e335e.jpg;bottlenose_dolphin;af3a0e1bb796;dolphin;0
46830280ec738f.jpg;false_killer_whale;345218493744;dolphin;0
30fa465d4db5ba.jpg;beluga;8274ddd12a43;beluga;2
ef719a9d9a0533.jpg;sei_whale;b0d28a9ee7ef;whale;1
220efeff0f44d9.jpg;false_killer_whale;9e1b81025c9d;dolphin;0
a082c3cb083c53.jpg;beluga;cb0fed574200;beluga;2
1ac573c384e7dd.jpg;beluga;204659f03add;beluga;2
c1bbcf3b13650f.jpg;gray_whale;ac48977c0215;whale;1
b9a1716b3ef6ae.jpg;blue_whale;b5ffdf2b6c90;whale;1
ba1512af5249f1.jpg;bottlenose_dolphin;d2eff394100e;dolphin;0
0afcfc3845998c.jpg;bottlenose_dolphin;d15c6ea7adf0;dolphin;0
92d55927cc2960.jpg;beluga;19b638e11443;beluga;2
8a387f8c8bfbed.jpg;blue_whale;5ed516715340;whale;1
526194ebc66715.jpg;killer_whale;36dd5ff0c1ae;dolphin;0
071c14f449513c.jpg;fin_whale;d8202128d671;whale;1
0743a9a2a98205.jpg;dusky_dolphin;d2d235a09b59;dolphin;0
731caad1b4aefc.jpg;humpback_whale;ae4343270756;whale;1
8e3bdf54b5f73e.jpg;beluga;1135ff432965;beluga;2
8cebe40d4973c1.jpg;sei_whale;844031301ad4;whale;1
470dc039f0c298.jpg;bottlenose_dolphin;fdb532d9bc78;dolphin;0
b7fcfbd43a4efa.jpg;southern_right_whale;9a999212d3c6;whale;1
d1980cb02dff34.jpg;humpback_whale;0b180ad0afa2;whale;1
0399c688a9f678.jpg;beluga;7013564429e7;beluga;2
ed95fc46b0ce44.jpg;beluga;6d92c71242ee;beluga;2
6e5cf0cf482ebe.jpg;bottlenose_dolphin;b61c15e89c3c;dolphin;0
f89191157615fb.jpg;beluga;b64d181ae2e6;beluga;2
48d4571e3ec71b.jpg;humpback_whale;8497e07df745;whale;1
1cf69844872921.jpg;humpback_whale;a19b3b964ac1;whale;1
150e867f13d65e.jpg;beluga;6d10b2677e20;beluga;2
59230e0edb0167.jpg;bottlenose_dolphin;600ab1de92d9;dolphin;0
bd437c4e939c29.jpg;minke_whale;19fbb960f07d;whale;1
bd7e7a38e0f443.jpg;fin_whale;f26206ae4046;whale;1
f97e031b59796f.jpg;beluga;26f0062edcb9;beluga;2
1c664797ab26b2.jpg;humpback_whale;614624ba3a13;whale;1
282d4b8e847cde.jpg;beluga;40be932489fe;beluga;2
